Spiel Nr.,Runde Nr.,Banner Striche,Banner Punkte,AGMüller Striche,AGMüller Punkte,Champion Striche,Champion Punkte,Verfolger Striche,Verfolger Punkte,Partner von Verfolger,Datum,Ort,Lat,Lon
19,4,10,10253,1,9463,8,10202,9,9842,Banner,01.02.2022,Schieber.ch,47.34278,8.55251
19,5,10,11101,6,12046,8,11150,14,12425,AGMüller,04.04.2022,Roter Stein,47.38857,8.48477
19,6,10,12643,6,13588,13,13764,19,14039,Champion,09.06.2022,Fallender Brunnenhof,47.40282,8.53556
20,1,3,2767,0,2389,3,2767,0,2389,AGMüller,17.08.2022,Grottion 83,47.37003,8.49233
20,2,3,5150,0,4772,7,5389,4,5011,Champion,30.08.2022,Falken,47.37022,8.51946
20,3,4,7729,2,7363,9,7990,5,7590,Banner,26.10.2022,Schiwago,47.37233,8.51044
20,4,10,10420,2,8612,9,9239,11,10281,Banner,12.12.2022,Münsterhöfli,47.37002,8.54035
20,5,10,12264,7,11364,9,11083,16,13033,AGMüller,07.02.2023,Untermoos,47.3781,8.48292
20,6,10,14445,7,13545,12,13773,19,15723,Champion,22.02.2023,Tüfenegg,47.35532,8.55415
21,1,1,2094,1,2094,4,2509,4,2509,Champion,21.03.2023,Damas,47.39334,8.52631
21,2,,,,,,,,,,,,,
21,3,,,,,,,,,,,,,
21,4,,,,,,,,,,,,,
21,5,,,,,,,,,,,,,
21,6,,,,,,,,,,,,,
